T,RH,E_tot,E_th,E_el,CO2_Out,E_tot (kWh/kg),E_th (kWh/kg),E_el (kWh/kg),E_tot*CO2,E_th*CO2,E_el*CO2,E_tot wtd,E_th wtd,E_el wtd,E_tot avg,E_th avg,E_el avg,E_tot avg 4&5,E_th avg 4&5,E_el avg 4&5,E_tot wtd 4&5,E_th wtd 4&5,E_el wtd 4&5
5,0,5.2507,4.9464,0.30423,10.412,1458.53,1374,84.51,15186.19,14306.088,879.9007667,1449.52,1364.21,85.32,1449.42,1364.1,85.33,1458.24,1373.72,84.51,1458.24,1373.72,84.51
5,22,5.9874,4.7814,1.206,11.304,1663.17,1328.17,335,18800.44,15013.596,3786.84,1540.72,1333.94,206.78,1541,1332.14,195.08,1659.65,1339.99,319.67,1659.66,1339.96,319.7
5,43,4.1582,3.7798,0.37842,11.973,1155.06,1049.94,105.12,13829.48,12570.98483,1258.56185,1128.49,1031.72,96.77,1128,1029.82,97.09,1150.86,1046.18,104.69,1150.86,1046.18,104.69
5,75,3.4264,3.1637,0.2626,12.1706,951.78,878.81,72.94,11583.71,10695.59089,887.7776556,896.06,821.1,74.95,896,820.08,74.99,947.65,874.29,73.35,947.66,874.3,73.35
5,100,3.524,3.3663,0.1577,11.8765,978.89,935.08,43.81,11625.77,11105.51721,520.2566806,872.95,816.35,56.59,873,815.62,56.62,915.32,860.92,54.39,915.95,861.65,54.28
20,0,6.4006,5.9775,0.42311,8.9358,1777.94,1660.42,117.53,15887.36,14837.15125,1050.229538,1723.14,1617.27,105.88,1723,1616.26,105.51,1762.21,1645.13,117.08,1762.39,1645.3,117.09
20,22,8.8579,6.6641,2.1938,9.3892,2460.53,1851.14,609.39,23102.39,17380.71326,5721.674156,2440.21,1859.22,580.98,2440,1859.24,580.91,2453.27,1855.36,597.91,2453.3,1855.35,597.95
20,43,10.893,6.9665,3.9263,9.8442,3025.83,1935.14,1090.64,29786.91,19049.89425,10736.46735,2529.35,2022.88,506.45,2529,2028.13,477.05,2896.08,1887.68,1008.38,2904.25,1890.67,1013.55
20,75,7.3347,6.8287,0.50591,9.6709,2037.42,1896.86,140.53,19703.65,18344.35412,1359.05695,1920.79,1808.13,112.66,1921,1804.1,111.86,2030.96,1892.68,138.27,2030.96,1892.68,138.27
20,100,6.4535,6.0586,0.39493,10.225,1792.64,1682.94,109.7,18329.73,17208.10694,1121.710903,1705.11,1598.03,107.09,1705,1592.59,106.77,1775,1661.69,113.31,1775.16,1661.89,113.28
40,0,9.5447,8.9546,0.59015,5.913,2651.31,2487.39,163.93,15677.17,14707.9305,969.321375,2634.37,2439.34,195.03,2634,2437.74,196.07,2646.93,2474.98,171.97,2647,2475.17,171.84
40,22,14.924,10.576,4.3482,6.1601,4145.56,2937.78,1207.83,25537.04,18097.00489,7440.374117,4000.47,2890.46,1110,4000,2886.58,1104.84,4105.69,2935.83,1169.79,4107.06,2935.9,1171.09
40,43,18.1506,11.228,6.9226,4.3371,5041.83,3118.89,1922.94,21866.94,13526.933,8340.00235,5030.77,3112.55,1918.22,5031,3112.46,1918.02,5039.81,3116.67,1923.06,5039.67,3116.52,1923.06
40,75,28.523,26.999,1.5244,3.4422,7923.06,7499.72,423.44,27272.74,25815.54383,1457.580467,7587.91,7247.76,340.26,7588,7242.71,338.6,7922.5,7499.17,423.44,7922.5,7499.17,423.44
40,100,31.668,30.898,0.77044,3.1106,8796.67,8582.78,214.01,27362.91,26697.58856,665.7029622,7766.83,7535.46,231.38,7767,7490.61,234.24,8423.89,8220.14,203.75,8422.86,8219.14,203.73
